"id","health1","health2","health3","mcdonalds","chipotle","shake_shack","gender","age","marital_status","location","rank_chipotle","rank_mcdonalds","rank_shake_shack"
1,1,1,1,6,7,3,"Male","18-29","never married","Manhattan",3,2,1
2,6,3,5,5,7,4,"Female","50-59","never married","New Jersey",3,2,1
3,4,3,4,4,2,7,"Female","30-39","never married","Brooklyn",1,2,3
4,1,1,1,1,4,3,"Male","40-49","married","Brooklyn",3,1,2
5,1,1,1,7,3,1,"Female","30-39","never married","Brooklyn",2,3,1
6,1,1,1,1,6,1,"Female","40-49","never married","Manhattan",3,1,2
7,1,1,1,3,5,5,"Female","18-29","never married","Manhattan",2,1,3
8,3,1,2,1,1,2,"Female","50-59","never married","Queens",2,1,3
9,3,2,3,7,2,5,"Male","18-29","married","Manhattan",1,3,2
10,3,3,3,7,7,6,"Male","18-29","separated","Manhattan",3,2,1
11,7,2,7,4,3,2,"Male","40-49","never married","New Jersey",2,3,1
12,4,3,4,7,3,2,"Male","30-39","separated","Brooklyn",2,3,1
13,3,1,2,2,6,1,"Female","40-49","never married","Queens",3,2,1
14,3,1,2,2,3,2,"Female","40-49","married","Manhattan",3,1,2
15,5,1,1,3,1,6,"Female","40-49","never married","Queens",1,2,3
16,2,2,2,4,3,5,"Female","18-29","separated","Manhattan",1,2,3
17,5,4,5,7,5,2,"Female","40-49","married","Brooklyn",2,3,1
18,6,3,3,2,4,1,"Male","50-59","never married","Brooklyn",3,2,1
19,6,2,6,7,2,5,"Male","40-49","never married","Brooklyn",1,3,2
20,7,1,5,6,1,5,"Female","40-49","never married","Manhattan",1,3,2
21,5,2,3,2,7,2,"Male","40-49","married","Queens",3,1,2
22,5,1,2,1,6,5,"Male","40-49","married","Brooklyn",3,1,2
23,2,1,2,7,1,2,"Male","40-49","married","Queens",1,3,2
24,5,3,4,6,1,6,"Male","30-39","never married","Manhattan",1,2,3
25,2,1,2,4,3,4,"Male","50-59","never married","Manhattan",1,2,3
26,3,1,2,1,5,6,"Female","40-49","never married","Manhattan",2,1,3
27,3,1,2,1,7,1,"Female","30-39","married","Brooklyn",3,1,2
28,3,2,3,5,4,4,"Male","50-59","never married","Queens",1,3,2
29,5,3,3,2,2,4,"Female","40-49","married","New Jersey",2,1,3
30,3,1,2,1,3,5,"Female","40-49","married","Manhattan",2,1,3
31,6,2,3,1,6,5,"Female","50-59","married","Manhattan",3,1,2
32,2,1,1,2,3,5,"Female","18-29","married","Manhattan",2,1,3
33,1,1,1,3,4,1,"Female","30-39","never married","Brooklyn",3,2,1
34,3,1,3,4,4,7,"Male","40-49","never married","Manhattan",2,1,3
35,7,1,1,3,3,4,"Male","40-49","married","New Jersey",2,1,3
36,2,1,1,1,7,4,"Male","18-29","married","Manhattan",3,1,2
37,6,1,1,3,4,1,"Female","18-29","never married","Manhattan",3,2,1
38,5,2,5,7,5,3,"Male","50-59","married","New Jersey",2,3,1
39,2,1,1,2,4,4,"Male","30-39","never married","Manhattan",2,1,3
40,3,1,1,1,3,7,"Female","50-59","never married","Manhattan",2,1,3
41,1,1,1,7,1,3,"Male","40-49","never married","Manhattan",1,3,2
42,7,1,4,2,3,4,"Male","40-49","never married","Brooklyn",2,1,3
43,3,1,1,1,3,4,"Male","18-29","married","Manhattan",2,1,3
44,1,1,1,4,5,4,"Male","30-39","divorced","New Jersey",3,1,2
45,2,1,1,3,5,2,"Female","50-59","never married","New Jersey",3,2,1
46,1,1,1,3,4,4,"Female","40-49","never married","Brooklyn",2,1,3
47,2,1,1,3,5,5,"Male","50-59","married","Manhattan",2,1,3
48,3,1,2,6,4,6,"Female","30-39","married","Brooklyn",1,2,3
49,6,2,2,1,5,1,"Female","18-29","never married","New Jersey",3,1,2
50,1,1,1,2,3,4,"Female","40-49","separated","Manhattan",2,1,3
51,1,1,1,1,3,1,"Female","18-29","married","Manhattan",3,1,2
52,2,2,2,7,5,7,"Female","18-29","divorced","Manhattan",1,2,3
53,4,1,1,3,4,4,"Female","40-49","married","Manhattan",2,1,3
54,5,2,3,2,2,5,"Female","18-29","never married","Manhattan",2,1,3
55,3,1,1,3,3,4,"Female","40-49","married","Manhattan",2,1,3
56,6,4,4,6,5,2,"Male","40-49","never married","Manhattan",2,3,1
57,5,1,1,3,2,4,"Female","18-29","never married","Brooklyn",1,2,3
58,1,1,1,3,5,4,"Female","40-49","married","Manhattan",3,1,2
59,7,1,2,1,7,5,"Female","50-59","married","Manhattan",3,1,2
60,5,4,4,5,1,2,"Female","40-49","never married","Manhattan",1,3,2
61,1,1,1,6,3,4,"Female","30-39","never married","New Jersey",1,3,2
62,4,1,3,2,1,7,"Female","30-39","never married","Brooklyn",1,2,3
63,7,5,5,6,4,5,"Female","30-39","never married","Manhattan",1,3,2
64,1,1,1,3,4,4,"Male","50-59","never married","Manhattan",2,1,3
65,1,1,1,7,1,2,"Female","50-59","never married","Queens",1,3,2
66,5,4,5,7,4,3,"Male","30-39","married","Queens",2,3,1
67,2,1,2,5,3,7,"Male","30-39","married","Manhattan",1,2,3
68,1,1,1,4,6,4,"Female","40-49","married","Manhattan",3,1,2
69,6,2,2,1,5,5,"Female","30-39","separated","Brooklyn",2,1,3
70,4,1,2,1,4,4,"Female","40-49","separated","Queens",2,1,3
71,3,2,2,6,7,4,"Male","18-29","married","Queens",3,2,1
72,2,1,2,2,3,2,"Female","50-59","never married","Queens",3,1,2
73,1,1,1,5,4,7,"Female","40-49","married","Queens",1,2,3
74,3,1,1,1,4,5,"Female","30-39","never married","Queens",2,1,3
75,3,1,1,3,3,4,"Female","30-39","never married","Manhattan",2,1,3
76,5,1,3,2,5,2,"Female","30-39","married","Manhattan",3,1,2
77,1,1,1,3,3,2,"Female","30-39","married","Manhattan",3,2,1
78,6,1,2,1,3,7,"Male","30-39","never married","Manhattan",2,1,3
79,1,1,1,7,5,3,"Female","40-49","never married","Queens",2,3,1
80,6,3,5,5,3,6,"Male","40-49","married","Manhattan",1,2,3
81,4,1,4,7,3,4,"Female","40-49","married","Manhattan",1,3,2
82,1,1,1,7,3,1,"Female","50-59","married","Brooklyn",2,3,1
83,5,1,2,1,3,1,"Female","60 or over","never married","Manhattan",3,1,2
84,6,5,5,5,2,4,"Male","18-29","never married","Manhattan",1,3,2
85,3,1,1,1,4,1,"Male","50-59","never married","Brooklyn",3,1,2
86,3,1,1,1,2,2,"Female","30-39","never married","Brooklyn",2,1,3
87,6,1,1,3,1,7,"Male","40-49","never married","Manhattan",1,2,3
88,1,1,1,6,3,3,"Male","18-29","married","New Jersey",1,3,2
89,2,1,2,2,6,4,"Female","40-49","married","Manhattan",3,1,2
90,4,1,4,4,7,1,"Male","30-39","never married","Manhattan",3,2,1
91,1,1,1,7,2,4,"Female","40-49","never married","Brooklyn",1,3,2
92,4,1,2,1,6,4,"Female","18-29","married","Brooklyn",3,1,2
93,5,1,2,1,3,5,"Female","18-29","divorced","Brooklyn",2,1,3
94,5,4,4,5,6,1,"Female","50-59","married","Manhattan",3,2,1
95,5,1,3,2,5,1,"Female","40-49","never married","Brooklyn",3,2,1
96,2,1,2,5,4,1,"Female","40-49","never married","Manhattan",2,3,1
97,1,1,1,1,4,2,"Female","40-49","married","Brooklyn",3,1,2
98,1,1,1,1,2,6,"Female","40-49","married","Brooklyn",2,1,3
99,7,3,7,4,3,4,"Female","30-39","married","Manhattan",1,2,3
100,6,3,5,7,3,4,"Female","40-49","married","Manhattan",1,3,2
101,5,2,5,7,3,7,"Female","40-49","married","Manhattan",1,2,3
102,7,6,6,5,5,4,"Male","60 or over","married","Manhattan",3,2,1
103,5,1,3,2,1,2,"Female","50-59","married","Manhattan",1,2,3
104,2,1,1,2,5,4,"Female","40-49","married","Manhattan",3,1,2
105,2,2,2,4,5,1,"Male","30-39","never married","New Jersey",3,2,1
106,7,5,5,5,5,6,"Female","50-59","never married","Brooklyn",2,1,3
107,4,1,3,2,7,3,"Female","18-29","married","Manhattan",3,1,2
108,6,2,3,2,4,2,"Female","30-39","married","Manhattan",3,1,2
109,4,3,3,2,2,2,"Female","40-49","divorced","New Jersey",2,1,3
110,2,1,2,6,3,2,"Female","50-59","separated","Manhattan",2,3,1
111,3,2,2,6,6,5,"Female","40-49","never married","Queens",3,2,1
112,2,1,2,5,5,7,"Female","50-59","never married","Queens",2,1,3
113,7,4,4,2,5,6,"Female","50-59","married","Queens",2,1,3
114,6,4,6,7,1,6,"Male","18-29","never married","New Jersey",1,3,2
115,4,1,4,4,1,7,"Female","30-39","married","Manhattan",1,2,3
116,4,1,4,4,6,4,"Female","50-59","never married","New Jersey",3,1,2
117,5,1,2,1,6,3,"Female","40-49","never married","Manhattan",3,1,2
118,4,1,1,1,3,2,"Female","18-29","never married","Brooklyn",3,1,2
119,7,2,2,1,7,5,"Female","50-59","married","Manhattan",3,1,2
120,4,1,3,5,4,4,"Female","40-49","never married","Queens",1,3,2
121,4,1,1,1,4,1,"Male","18-29","never married","Brooklyn",3,1,2
122,7,1,3,1,3,5,"Female","30-39","married","New Jersey",2,1,3
123,6,4,5,7,1,6,"Male","18-29","never married","Manhattan",1,3,2
