"id","health1","health2","health3","mcdonalds","chipotle","shake_shack","gender","age","marital_status","location","duration","rank_chipotle","rank_mcdonalds","rank_shake_shack"
1,1,1,1,6,7,3,"Male","18-29","never married","Manhattan",119.3382993562,3,2,1
2,6,3,5,5,7,4,"Female","50-59","never married","New Jersey",221.970588835957,3,2,1
3,4,3,4,4,2,7,"Female","30-39","never married","Brooklyn",260.713332985404,1,2,3
4,1,1,1,1,4,3,"Male","40-49","married","Brooklyn",146.26760881836,3,1,2
5,1,1,1,7,3,1,"Female","30-39","never married","Brooklyn",235.987554749143,2,3,1
6,1,1,1,1,6,1,"Female","40-49","never married","Manhattan",199.909748883752,3,1,2
7,1,1,1,3,5,5,"Female","18-29","never married","Manhattan",207.276434065068,2,1,3
8,3,1,2,1,1,2,"Female","50-59","never married","Queens",195.328618541048,2,1,3
9,3,2,3,7,2,5,"Male","18-29","married","Manhattan",160.70376117143,1,3,2
10,3,3,3,7,7,6,"Male","18-29","separated","Manhattan",123.828317019347,3,2,1
11,7,2,7,4,3,2,"Male","40-49","never married","New Jersey",189.834925819818,2,3,1
12,4,3,4,7,3,2,"Male","30-39","separated","Brooklyn",140.215702350586,2,3,1
13,3,1,2,2,6,1,"Female","40-49","never married","Queens",151.140151331202,3,2,1
14,3,1,2,2,3,2,"Female","40-49","married","Manhattan",154.558708024574,3,1,2
15,5,1,1,3,1,6,"Female","40-49","never married","Queens",101.259320061602,1,2,3
16,2,2,2,4,3,5,"Female","18-29","separated","Manhattan",183.937763327405,1,2,3
17,5,4,5,7,5,2,"Female","40-49","married","Brooklyn",218.92524718679,2,3,1
18,6,3,3,2,4,1,"Male","50-59","never married","Brooklyn",192.306439795606,3,2,1
19,6,2,6,7,2,5,"Male","40-49","never married","Brooklyn",149.871657650296,1,3,2
20,7,1,5,6,1,5,"Female","40-49","never married","Manhattan",353.25094210878,1,3,2
21,5,2,3,2,7,2,"Male","40-49","married","Queens",173.261672477626,3,1,2
22,5,1,2,1,6,5,"Male","40-49","married","Brooklyn",205.059496870873,3,1,2
23,2,1,2,7,1,2,"Male","40-49","married","Queens",165.681467637279,1,3,2
24,5,3,4,6,1,6,"Male","30-39","never married","Manhattan",195.393721224574,1,2,3
25,2,1,2,4,3,4,"Male","50-59","never married","Manhattan",141.135935610582,1,2,3
26,3,1,2,1,5,6,"Female","40-49","never married","Manhattan",216.853548972466,2,1,3
27,3,1,2,1,7,1,"Female","30-39","married","Brooklyn",228.557421699634,3,1,2
28,3,2,3,5,4,4,"Male","50-59","never married","Queens",214.842494124077,1,3,2
29,5,3,3,2,2,4,"Female","40-49","married","New Jersey",106.214968613363,2,1,3
30,3,1,2,1,3,5,"Female","40-49","married","Manhattan",176.036586586356,2,1,3
31,6,2,3,1,6,5,"Female","50-59","married","Manhattan",114.261398668673,3,1,2
32,2,1,1,2,3,5,"Female","18-29","married","Manhattan",149.63817214083,2,1,3
33,1,1,1,3,4,1,"Female","30-39","never married","Brooklyn",160.373227041119,3,2,1
34,3,1,3,4,4,7,"Male","40-49","never married","Manhattan",187.686823431848,2,1,3
35,7,1,1,3,3,4,"Male","40-49","married","New Jersey",242.909862971991,2,1,3
36,2,1,1,1,7,4,"Male","18-29","married","Manhattan",176.569046079278,3,1,2
37,6,1,1,3,4,1,"Female","18-29","never married","Manhattan",139.978831429842,3,2,1
38,5,2,5,7,5,3,"Male","50-59","married","New Jersey",264.911114421232,2,3,1
39,2,1,1,2,4,4,"Male","30-39","never married","Manhattan",305.886155045162,2,1,3
40,3,1,1,1,3,7,"Female","50-59","never married","Manhattan",155.211776266868,2,1,3
41,1,1,1,7,1,3,"Male","40-49","never married","Manhattan",180.575702392283,1,3,2
42,7,1,4,2,3,4,"Male","40-49","never married","Brooklyn",220.510370281081,2,1,3
43,3,1,1,1,3,4,"Male","18-29","married","Manhattan",248.212453140141,2,1,3
44,1,1,1,4,5,4,"Male","30-39","divorced","New Jersey",223.081234937095,3,1,2
45,2,1,1,3,5,2,"Female","50-59","never married","New Jersey",273.701545783246,3,2,1
46,1,1,1,3,4,4,"Female","40-49","never married","Brooklyn",227.069297448843,2,1,3
47,2,1,1,3,5,5,"Male","50-59","married","Manhattan",310.636300963148,2,1,3
48,3,1,2,6,4,6,"Female","30-39","married","Brooklyn",229.375725942143,1,2,3
49,6,2,2,1,5,1,"Female","18-29","never married","New Jersey",202.771141517121,3,1,2
50,1,1,1,2,3,4,"Female","40-49","separated","Manhattan",161.231930167143,2,1,3
51,1,1,1,1,3,1,"Female","18-29","married","Manhattan",204.322202846048,3,1,2
52,2,2,2,7,5,7,"Female","18-29","divorced","Manhattan",242.028434804963,1,2,3
53,4,1,1,3,4,4,"Female","40-49","married","Manhattan",242.747774160174,2,1,3
54,5,2,3,2,2,5,"Female","18-29","never married","Manhattan",158.982987162121,2,1,3
55,3,1,1,3,3,4,"Female","40-49","married","Manhattan",234.285977864664,2,1,3
56,6,4,4,6,5,2,"Male","40-49","never married","Manhattan",126.61570398303,2,3,1
57,5,1,1,3,2,4,"Female","18-29","never married","Brooklyn",153.862360784557,1,2,3
58,1,1,1,3,5,4,"Female","40-49","married","Manhattan",308.933247345636,3,1,2
59,7,1,2,1,7,5,"Female","50-59","married","Manhattan",260.263520117404,3,1,2
60,5,4,4,5,1,2,"Female","40-49","never married","Manhattan",170.636790973317,1,3,2
61,1,1,1,6,3,4,"Female","30-39","never married","New Jersey",416.022803133533,1,3,2
62,4,1,3,2,1,7,"Female","30-39","never married","Brooklyn",280.613159292675,1,2,3
63,7,5,5,6,4,5,"Female","30-39","never married","Manhattan",203.751799378546,1,3,2
64,1,1,1,3,4,4,"Male","50-59","never married","Manhattan",230.597420915566,2,1,3
65,1,1,1,7,1,2,"Female","50-59","never married","Queens",329.698919010898,1,3,2
66,5,4,5,7,4,3,"Male","30-39","married","Queens",180.071790687492,2,3,1
67,2,1,2,5,3,7,"Male","30-39","married","Manhattan",214.770025032032,1,2,3
68,1,1,1,4,6,4,"Female","40-49","married","Manhattan",193.959321293281,3,1,2
69,6,2,2,1,5,5,"Female","30-39","separated","Brooklyn",249.963791272218,2,1,3
70,4,1,2,1,4,4,"Female","40-49","separated","Queens",139.327879895311,2,1,3
71,3,2,2,6,7,4,"Male","18-29","married","Queens",129.551915940625,3,2,1
72,2,1,2,2,3,2,"Female","50-59","never married","Queens",267.525181827842,3,1,2
73,1,1,1,5,4,7,"Female","40-49","married","Queens",272.230925613386,1,2,3
