"Year","ICM location","Medalists[22]","Affiliation(when awarded)","Affiliation(current/last)","Reasons"
1936,"Oslo, Norway","Lars Ahlfors","University of Helsinki, Finland","Harvard University, US[23][24]","""Awarded medal for research on covering surfaces related to Riemann surfaces of inverse functions of entire and meromorphic functions. Opened up new fields of analysis.""[25]"
1936,"Oslo, Norway","Jesse Douglas","Massachusetts Institute of Technology, US","City College of New York, US[26][27]","""Did important work on the Plateau problem which is concerned with finding minimal surfaces connecting and determined by some fixed boundary.""[25]"
1950,"Cambridge, US","Laurent Schwartz","University of Nancy, France","University of Paris VII, France[28][29]","""Developed the theory of distributions, a new notion of generalized function motivated by the Dirac delta-function of theoretical physics.""[30]"
1950,"Cambridge, US","Atle Selberg","Institute for Advanced Study, US","Institute for Advanced Study, US[31]","""Developed generalizations of the sieve methods of Viggo Brun; achieved major results on zeros of the Riemann zeta function; gave an elementary proof of the prime number theorem (with P. Erdos), with a generalization to prime numbers in an arbitrary arithmetic progression.""[30]"
1954,"Amsterdam, Netherlands","Kunihiko Kodaira","Princeton University, US, University of Tokyo, Japan and Institute for Advanced Study, US[32]","University of Tokyo, Japan[33]","""Achieved major results in the theory of harmonic integrals and numerous applications to Kählerian and more specifically to algebraic varieties. He demonstrated, by sheaf cohomology, that such varieties are Hodge manifolds.""[34]"
1954,"Amsterdam, Netherlands","Jean-Pierre Serre","University of Nancy, France","Collège de France, France[35][36]","""Achieved major results on the homotopy groups of spheres, especially in his use of the method of spectral sequences. Reformulated and extended some of the main results of complex variable theory in terms of sheaves.""[34]"
1958,"Edinburgh, UK","Klaus Roth","University College London, UK","Imperial College London, UK[37]","""Solved in 1955 the famous Thue-Siegel problem concerning the approximation to algebraic numbers by rational numbers and proved in 1952 that a sequence with no three numbers in arithmetic progression has zero density (a conjecture of Erdos and Turán of 1935).""[38]"
1958,"Edinburgh, UK","René Thom","University of Strasbourg, France","Institut des Hautes Études Scientifiques, France[39]","""In 1954 invented and developed the theory of cobordism in algebraic topology. This classification of manifolds used homotopy theory in a fundamental way and became a prime example of a general cohomology theory.""[38]"
1962,"Stockholm, Sweden","Lars Hörmander","University of Stockholm, Sweden","Lund University, Sweden[40]","""Worked in partial differential equations. Specifically, contributed to the general theory of linear differential operators. The questions go back to one of Hilbert's problems at the 1900 congress.""[41]"
1962,"Stockholm, Sweden","John Milnor","Princeton University, US","Stony Brook University, US[42]","""Proved that a 7-dimensional sphere can have several differential structures; this led to the creation of the field of differential topology.""[41]"
