"id","quality","variety","price","distance","courteousness","atmosphere","rating_PinkBerry","rating_RedMango","rating_16Handles","rank_PinkBerry","rank_RedMango","rank_16Handles","rewardsCard_16Handles","social","gender"
1,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
2,5,4,3,5,5,5,2,5,5,3,1,2,1,5,2
3,3,5,5,3,4,4,4,3,4,3,2,1,1,3,1
4,2,2,2,2,2,2,1,4,3,2,1,3,2,3,2
5,4,3,4,4,3,3,3,3,4,3,1,2,2,3,1
6,4,3,4,4,3,3,3,3,4,3,1,2,1,1,2
7,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
8,4,5,4,4,4,4,4,3,4,3,2,1,2,1,2
9,3,5,5,3,2,4,4,4,3,1,2,3,2,2,1
10,2,2,2,2,1,2,1,2,2,3,1,2,1,2,1
11,1,1,1,1,1,1,5,1,1,2,3,1,1,5,1
12,3,5,5,3,2,2,1,4,3,2,1,3,1,4,1
13,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
14,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
15,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
16,5,3,3,5,3,5,2,5,5,3,1,2,1,2,1
17,5,4,3,5,5,5,2,5,5,3,1,2,1,4,1
18,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
19,2,2,2,2,2,2,1,4,3,2,1,3,1,3,1
20,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
21,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
22,2,2,2,2,1,2,1,2,2,3,1,2,2,3,2
23,1,1,1,1,1,1,5,1,1,2,3,1,1,1,1
24,2,2,2,2,1,2,1,2,2,3,1,2,2,1,2
25,3,5,5,3,2,2,1,4,3,2,1,3,1,2,1
26,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
27,4,3,4,4,3,3,3,5,4,2,1,3,1,3,2
28,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
29,3,5,5,3,4,4,4,3,4,3,2,1,2,4,2
30,5,3,3,5,3,5,2,5,5,3,1,2,1,2,2
31,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
32,5,3,3,5,3,5,2,5,5,3,1,2,2,1,2
33,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
34,1,1,1,1,1,1,5,1,1,2,3,1,2,2,1
35,1,1,1,1,1,1,5,1,1,2,3,1,2,5,2
36,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
37,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
38,2,2,2,2,2,2,1,2,2,3,1,2,1,4,1
39,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
40,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
41,2,2,2,2,1,2,1,2,2,3,1,2,1,1,1
42,2,2,2,2,1,2,1,2,2,3,1,2,2,3,2
43,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
44,3,5,5,3,4,4,4,4,3,1,2,3,1,4,1
45,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
46,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
47,3,5,5,3,2,2,1,4,3,2,1,3,2,2,2
48,5,3,3,5,3,5,2,5,5,3,1,2,1,3,2
49,4,3,4,4,3,3,3,5,5,3,1,2,2,4,2
50,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
51,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
52,4,3,4,4,3,3,3,5,4,2,1,3,1,2,1
53,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
54,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
55,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
56,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
57,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
58,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
59,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
60,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
61,4,5,4,4,4,4,4,3,4,3,2,1,1,5,2
62,4,3,4,4,4,3,3,3,4,3,1,2,2,3,2
63,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
64,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
65,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
66,3,2,5,3,2,2,1,4,3,2,1,3,1,1,1
67,3,5,5,3,4,4,4,4,3,1,2,3,1,2,2
68,4,3,4,4,3,3,3,5,4,2,1,3,1,2,1
69,4,3,4,4,3,3,3,5,5,3,1,2,2,4,2
70,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
71,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
72,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
73,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
74,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
75,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
76,4,3,4,4,3,3,3,5,4,2,1,3,2,2,2
77,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
78,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
79,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
80,2,2,2,2,2,2,1,4,3,2,1,3,1,2,2
81,4,3,4,4,4,4,4,3,4,3,2,1,1,2,1
82,4,3,4,4,3,3,3,3,4,3,1,2,1,3,1
83,4,3,4,4,3,3,3,3,4,3,1,2,1,1,2
84,3,5,5,3,2,4,4,4,3,1,2,3,2,2,2
85,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
86,5,3,3,5,3,5,2,5,5,3,1,2,1,3,2
87,2,2,2,2,2,2,1,4,3,2,1,3,1,2,2
88,2,2,2,2,2,2,1,2,2,3,1,2,2,4,2
89,3,5,5,3,4,4,4,3,4,3,2,1,2,2,2
90,1,1,1,1,1,1,5,1,1,2,3,1,1,2,1
91,3,5,5,3,4,4,4,3,4,3,2,1,2,3,1
92,4,3,4,4,3,3,3,3,4,3,1,2,1,3,2
93,4,3,4,4,3,3,3,3,4,3,1,2,1,3,2
94,4,3,4,4,4,3,3,3,4,3,1,2,2,1,2
95,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
96,5,4,3,5,3,5,2,5,5,3,1,2,1,1,2
97,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
98,4,3,4,4,4,4,4,3,4,3,2,1,1,3,2
99,5,4,3,5,5,5,2,5,5,3,1,2,3,2,1
100,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
101,4,3,4,4,3,3,3,5,4,2,1,3,1,2,1
102,2,2,2,2,2,2,1,4,3,2,1,3,2,1,2
103,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
104,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
105,2,2,2,2,1,2,1,2,2,3,1,2,1,5,1
106,4,5,4,4,4,4,4,3,4,3,2,1,1,4,2
107,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
108,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
109,3,5,5,3,4,4,4,3,4,3,2,1,2,5,2
110,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
111,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
112,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
113,5,3,3,5,3,5,2,5,5,3,1,2,2,1,2
114,3,5,5,3,4,4,4,4,3,1,2,3,1,4,1
115,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
116,4,3,4,4,4,3,3,3,4,3,1,2,2,4,1
117,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
118,4,3,4,4,3,3,3,5,4,2,1,3,2,4,2
119,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
120,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
121,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
122,4,3,4,4,3,3,3,5,4,2,1,3,1,4,2
123,3,2,5,3,2,2,1,4,3,2,1,3,1,2,1
124,4,3,4,4,3,3,3,3,4,3,1,2,2,1,1
125,5,3,3,5,3,5,2,5,5,3,1,2,1,1,2
126,2,2,2,2,1,2,1,2,2,3,1,2,1,3,2
127,2,2,2,2,2,2,1,2,2,3,1,2,1,1,1
128,3,5,5,3,2,2,1,4,3,2,1,3,2,4,2
129,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
130,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
131,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
132,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
133,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
134,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
135,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
136,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
137,3,5,5,3,4,4,4,4,3,1,2,3,2,4,2
138,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
139,4,3,4,4,4,4,4,3,4,3,2,1,2,2,1
140,3,5,5,3,2,2,1,4,3,2,1,3,1,5,2
141,3,5,5,3,2,2,1,4,3,2,1,3,1,1,2
142,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
143,2,2,2,2,1,2,1,2,2,3,1,2,2,1,2
144,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
145,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
