"id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal","medalist"
36,"Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Butterfly","None","No"
36,"Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Butterfly","None","No"
36,"Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
36,"Stefan Remco Aartsen","M",25,194,78,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly","None","No"
36,"Stefan Remco Aartsen","M",25,194,78,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 200 metres Butterfly","None","No"
68,"Pablo Martn Abal","M",23,178,76,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly","None","No"
68,"Pablo Martn Abal","M",23,178,76,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
120,"Mohammed Abbas Sabih","M",26,170,70,"Iraq","IRQ","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Freestyle","None","No"
130,"Tural Abbasov","M",18,182,76,"Azerbaijan","AZE","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 50 metres Freestyle","None","No"
258,"Hamza Abdo","M",17,NA,NA,"Palestine","PLE","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 50 metres Freestyle","None","No"
259,"Reema Abdo","F",21,173,59,"Canada","CAN","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 100 metres Backstroke","None","No"
259,"Reema Abdo","F",21,173,59,"Canada","CAN","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 200 metres Backstroke","None","No"
259,"Reema Abdo","F",21,173,59,"Canada","CAN","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Bronze","Yes"
280,"Mohamed Abdul Hamid","M",19,175,55,"Sudan","SUD","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 50 metres Freestyle","None","No"
290,"Fatima Abdul Majeed Hameed Al-Kirashi","F",14,NA,NA,"Bahrain","BRN","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 50 metres Freestyle","None","No"
308,"Mohamed Abdul Wahab Al-Salah","M",21,NA,NA,"Kuwait","KUW","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 400 metres Freestyle","None","No"
308,"Mohamed Abdul Wahab Al-Salah","M",21,NA,NA,"Kuwait","KUW","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 100 metres Butterfly","None","No"
317,"Roosevelt M. Abdulgafur","M",24,181,73,"Philippines","PHI","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 100 metres Freestyle","None","No"
317,"Roosevelt M. Abdulgafur","M",24,181,73,"Philippines","PHI","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 200 metres Freestyle","None","No"
317,"Roosevelt M. Abdulgafur","M",24,181,73,"Philippines","PHI","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","None","No"
317,"Roosevelt M. Abdulgafur","M",24,181,73,"Philippines","PHI","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","None","No"
317,"Roosevelt M. Abdulgafur","M",24,181,73,"Philippines","PHI","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 4 x 100 metres Medley Relay","None","No"
322,"Ahmed Ghanim Abdullah","M",20,184,79,"Egypt","EGY","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 200 metres Butterfly","None","No"
