"trip_id","trip_duration","trip_distance","passenger_count","fare_amount","tolls_amount","tip","tip_amount","period_of_day","pickup_date","period_of_month","pickup_day","pickup_hour","pickup_min","pickup_sec","pickup_time","dropoff_time"
1563950,6.7,1.26,1,6.5,0,"Tip",2.16,"afternoon",19,"middle","Tue",15,34,24,2022-04-19 15:34:24,2022-04-19 15:41:08
1924297,8,1.2,1,7.5,0,"Tip",2.25,"evening",23,"end","Sat",16,9,39,2022-04-23 16:09:39,2022-04-23 16:17:37
16432,12,1.7,1,10,0,"Tip",2.66,"morning",1,"beginning","Fri",6,59,21,2022-04-01 06:59:21,2022-04-01 07:11:20
1242061,13.3,1.71,1,9.5,0,"Tip",2.56,"morning",15,"middle","Fri",11,30,59,2022-04-15 11:30:59,2022-04-15 11:44:15
1806091,9.8,1.5,1,8,0,"Tip",2.25,"morning",22,"end","Fri",11,13,19,2022-04-22 11:13:19,2022-04-22 11:23:08
193112,7.2,0.83,4,6.5,0,"Tip",2.06,"night",2,"beginning","Sat",22,13,46,2022-04-02 22:13:46,2022-04-02 22:20:58
1545548,4.3,0.6,3,4.5,0,"Tip",1.75,"afternoon",19,"middle","Tue",12,46,8,2022-04-19 12:46:08,2022-04-19 12:50:26
1360713,10.7,0.86,1,8,0,"Tip",1.5,"evening",16,"middle","Sat",18,51,26,2022-04-16 18:51:26,2022-04-16 19:02:10
877915,10.1,1.18,1,8,0,"Tip",2.26,"night",11,"middle","Mon",5,41,53,2022-04-11 05:41:53,2022-04-11 05:52:00
830270,7,0.61,1,6,0,"Tip",2.32,"morning",10,"middle","Sun",11,52,16,2022-04-10 11:52:16,2022-04-10 11:59:17
154062,20.1,0.74,3,12.5,0,"Tip",4,"afternoon",2,"beginning","Sat",14,58,31,2022-04-02 14:58:31,2022-04-02 15:18:35
389104,9.3,1.26,1,7.5,0,"Tip",2.36,"afternoon",5,"beginning","Tue",13,10,14,2022-04-05 13:10:14,2022-04-05 13:19:31
1661724,9.2,1.79,1,8.5,0,"Tip",2.46,"evening",20,"end","Wed",17,26,3,2022-04-20 17:26:03,2022-04-20 17:35:14
2400738,4,0.72,1,5,0,"Tip",2.49,"morning",29,"end","Fri",10,23,56,2022-04-29 10:23:56,2022-04-29 10:27:56
2510241,6,0.69,3,5.5,0,"Tip",2.2,"afternoon",30,"end","Sat",13,3,7,2022-04-30 13:03:07,2022-04-30 13:09:07
2150108,9.4,1.65,1,8.5,0,"Tip",2.56,"afternoon",26,"end","Tue",14,1,49,2022-04-26 14:01:49,2022-04-26 14:11:15
555597,27.2,2.68,1,17,0,"Tip",4.06,"morning",7,"beginning","Thu",11,25,0,2022-04-07 11:25:00,2022-04-07 11:52:12
714451,3.8,0.59,1,4.5,0,"Tip",1.56,"morning",9,"beginning","Sat",6,25,58,2022-04-09 06:25:58,2022-04-09 06:29:44
2139215,8.2,0.97,2,7,0,"Tip",2.26,"afternoon",26,"end","Tue",13,9,43,2022-04-26 13:09:43,2022-04-26 13:17:55
635566,11.1,1.98,1,9.5,0,"Tip",3.2,"morning",8,"beginning","Fri",9,48,33,2022-04-08 09:48:33,2022-04-08 09:59:40
269609,11.1,1.84,1,9.5,0,"Tip",1.2,"night",4,"beginning","Mon",5,13,13,2022-04-04 05:13:13,2022-04-04 05:24:16
2407150,17.1,1.7,4,12,0,"Tip",3,"afternoon",29,"end","Fri",12,17,49,2022-04-29 12:17:49,2022-04-29 12:34:57
929405,15.1,5.3,1,16.5,0,"Tip",4.05,"evening",11,"middle","Mon",17,34,43,2022-04-11 17:34:43,2022-04-11 17:49:48
583390,6.2,0.68,1,5.5,0,"Tip",1.96,"afternoon",7,"beginning","Thu",15,10,2,2022-04-07 15:10:02,2022-04-07 15:16:11
1665124,6.7,0.79,1,6,0,"No Tip",0,"evening",20,"end","Wed",18,43,36,2022-04-20 18:43:36,2022-04-20 18:50:20
