"trip_id","tip","trip_duration","trip_distance","passenger_count","fare_amount","tolls_amount","period_of_day","pickup_date","period_of_month","pickup_day","pickup_hour","pickup_min","pickup_sec","pickup_time","dropoff_time"
877930,1,19.4,6.23,1,22,0,"night",11,"middle","Mon",5,26,54,2022-04-11 05:26:54,2022-04-11 05:46:15
513547,1,23.3,6.97,2,23,0,"night",6,"beginning","Wed",22,22,34,2022-04-06 22:22:34,2022-04-06 22:45:51
609348,0,6,1.18,1,6.5,0,"night",8,"beginning","Fri",2,32,14,2022-04-08 02:32:14,2022-04-08 02:38:14
988906,1,33.1,3.45,1,20.5,0,"afternoon",12,"middle","Tue",12,29,57,2022-04-12 12:29:57,2022-04-12 13:03:04
1421759,0,15.4,3.36,1,13,0,"evening",17,"middle","Sun",16,21,6,2022-04-17 16:21:06,2022-04-17 16:36:32
967056,1,22.9,2.97,1,16,0,"morning",12,"middle","Tue",8,42,12,2022-04-12 08:42:12,2022-04-12 09:05:06
2083846,0,13.5,3.15,1,13,0,"evening",25,"end","Mon",17,16,8,2022-04-25 17:16:08,2022-04-25 17:29:37
926299,1,23.2,4.35,2,18,0,"evening",11,"middle","Mon",16,42,5,2022-04-11 16:42:05,2022-04-11 17:05:19
2527886,1,32.8,9.83,1,31.5,0,"evening",30,"end","Sat",17,4,32,2022-04-30 17:04:32,2022-04-30 17:37:20
2007755,0,13.9,2.64,1,11.5,0,"evening",24,"end","Sun",17,19,55,2022-04-24 17:19:55,2022-04-24 17:33:51
2086990,0,12.8,2,1,10,0,"evening",25,"end","Mon",18,19,54,2022-04-25 18:19:54,2022-04-25 18:32:40
1171167,0,26.9,3.73,1,18.5,0,"afternoon",14,"middle","Thu",14,25,51,2022-04-14 14:25:51,2022-04-14 14:52:42
1408090,0,29.1,10.34,5,33,0,"afternoon",17,"middle","Sun",13,34,12,2022-04-17 13:34:12,2022-04-17 14:03:18
1219123,1,16.7,5.76,1,18.5,0,"morning",15,"middle","Fri",6,46,39,2022-04-15 06:46:39,2022-04-15 07:03:20
205264,1,18.8,8.67,1,25.5,6.55,"morning",3,"beginning","Sun",7,8,41,2022-04-03 07:08:41,2022-04-03 07:27:26
1214373,1,31.5,10.83,1,33.5,6.55,"night",15,"middle","Fri",5,59,53,2022-04-15 05:59:53,2022-04-15 06:31:25
1539311,0,28.9,2.9,0,18.5,0,"morning",19,"middle","Tue",11,24,54,2022-04-19 11:24:54,2022-04-19 11:53:45
